vid,pid,color,size,stock,price
72,996,Red,M,10,200000
73,721,Red,M,10,200000
74,1206,Red,M,10,200000
75,1292,Red,M,10,200000
76,496,Red,M,10,200000
77,1420,Red,M,10,200000
78,1339,Red,M,10,200000
79,233,Red,M,10,200000
80,1379,Red,M,10,200000
81,1255,Red,M,10,200000
82,816,Red,M,10,200000
83,1469,Red,M,10,200000
84,428,Red,M,10,200000
85,428,Red,M,10,200000
86,1542,Red,M,10,200000
87,395,Red,M,10,200000
88,738,Red,M,10,200000
89,1385,Red,M,10,200000
90,157,Red,M,10,200000
91,273,Red,M,10,200000
92,442,Red,M,10,200000
93,1637,Red,M,10,200000
94,718,Red,M,10,200000
95,1065,Red,M,10,200000
96,370,Red,M,10,200000
97,1069,Red,M,10,200000
98,1860,Red,M,10,200000
99,587,Red,M,10,200000
100,1981,Red,M,10,200000
101,941,Red,M,10,200000
102,1352,Red,M,10,200000
103,784,Red,M,10,200000
104,1435,Red,M,10,200000
105,1274,Red,M,10,200000
106,1560,Red,M,10,200000
107,1553,Red,M,10,200000
108,116,Red,M,10,200000
109,1548,Red,M,10,200000
110,1812,Red,M,10,200000
111,1982,Red,M,10,200000
112,114,Red,M,10,200000
113,937,Red,M,10,200000
114,1429,Red,M,10,200000
115,1178,Red,M,10,200000
116,1096,Red,M,10,200000
117,811,Red,M,10,200000
118,89,Red,M,10,200000
119,371,Red,M,10,200000
120,34,Red,M,10,200000
121,1732,Red,M,10,200000
122,543,Red,M,10,200000
123,1840,Red,M,10,200000
124,1146,Red,M,10,200000
125,648,Red,M,10,200000
126,251,Red,M,10,200000
127,1476,Red,M,10,200000
128,1140,Red,M,10,200000
129,105,Red,M,10,200000
130,103,Red,M,10,200000
131,1503,Red,M,10,200000
132,71,Red,M,10,200000
133,512,Red,M,10,200000
134,1223,Red,M,10,200000
135,979,Red,M,10,200000
136,553,Red,M,10,200000
137,487,Red,M,10,200000
138,807,Red,M,10,200000
139,1859,Red,M,10,200000
140,1829,Red,M,10,200000
141,1427,Red,M,10,200000
142,339,Red,M,10,200000
143,1896,Red,M,10,200000
144,1116,Red,M,10,200000
145,383,Red,M,10,200000
146,898,Red,M,10,200000
147,1533,Red,M,10,200000
148,1045,Red,M,10,200000
149,1124,Red,M,10,200000
150,880,Red,M,10,200000
151,890,Red,M,10,200000
152,834,Red,M,10,200000
153,1588,Red,M,10,200000
154,231,Red,M,10,200000
155,1823,Red,M,10,200000
156,625,Red,M,10,200000
157,678,Red,M,10,200000
158,202,Red,M,10,200000
159,1590,Red,M,10,200000
160,1739,Red,M,10,200000
161,1243,Red,M,10,200000
162,413,Red,M,10,200000
163,1642,Red,M,10,200000
164,940,Red,M,10,200000
165,1503,Red,M,10,200000
166,1476,Red,M,10,200000
167,1735,Red,M,10,200000
168,336,Red,M,10,200000
169,203,Red,M,10,200000
170,1798,Red,M,10,200000
171,71,Red,M,10,200000
172,375,Red,M,10,200000
173,1256,Red,M,10,200000
174,1821,Red,M,10,200000
175,1483,Red,M,10,200000
176,996,Red,M,10,200000
177,1022,Red,M,10,200000
178,1389,Red,M,10,200000
179,555,Red,M,10,200000
180,1544,Red,M,10,200000
181,1402,Red,M,10,200000
182,1871,Red,M,10,200000
183,164,Red,M,10,200000
184,773,Red,M,10,200000
185,638,Red,M,10,200000
186,426,Red,M,10,200000
187,1520,Red,M,10,200000
188,1938,Red,M,10,200000
189,1570,Red,M,10,200000
190,380,Red,M,10,200000
191,1476,Red,M,10,200000
192,1739,Red,M,10,200000
193,1656,Red,M,10,200000
194,1114,Red,M,10,200000
195,1858,Red,M,10,200000
196,1617,Red,M,10,200000
197,93,Red,M,10,200000
198,738,Red,M,10,200000
199,1983,Red,M,10,200000
200,1365,Red,M,10,200000
201,1067,Red,M,10,200000
202,89,Red,M,10,200000
203,1951,Red,M,10,200000
204,1756,Red,M,10,200000
205,1772,Red,M,10,200000
206,1318,Red,M,10,200000
207,1532,Red,M,10,200000
208,1760,Red,M,10,200000
209,1466,Red,M,10,200000
210,1802,Red,M,10,200000
211,1958,Red,M,10,200000
212,612,Red,M,10,200000
213,353,Red,M,10,200000
214,666,Red,M,10,200000
215,1300,Red,M,10,200000
216,225,Red,M,10,200000
217,1301,Red,M,10,200000
218,794,Red,M,10,200000
219,728,Red,M,10,200000
220,1873,Red,M,10,200000
221,1648,Red,M,10,200000
222,280,Red,M,10,200000
223,1377,Red,M,10,200000
224,1799,Red,M,10,200000
225,547,Red,M,10,200000
226,34,Red,M,10,200000
227,698,Red,M,10,200000
228,249,Red,M,10,200000
229,1182,Red,M,10,200000
230,309,Red,M,10,200000
231,400,Red,M,10,200000
232,1356,Red,M,10,200000
233,1595,Red,M,10,200000
234,212,Red,M,10,200000
235,1456,Red,M,10,200000
236,43,Red,M,10,200000
237,405,Red,M,10,200000
238,321,Red,M,10,200000
239,1951,Red,M,10,200000
240,835,Red,M,10,200000
241,630,Red,M,10,200000
242,411,Red,M,10,200000
243,211,Red,M,10,200000
244,301,Red,M,10,200000
245,349,Red,M,10,200000
246,1972,Red,M,10,200000
247,47,Red,M,10,200000
248,1065,Red,M,10,200000
249,1823,Red,M,10,200000
250,61,Red,M,10,200000
251,268,Red,M,10,200000
252,963,Red,M,10,200000
253,244,Red,M,10,200000
254,400,Red,M,10,200000
255,370,Red,M,10,200000
256,1029,Red,M,10,200000
257,1906,Red,M,10,200000
258,1578,Red,M,10,200000
259,1718,Red,M,10,200000
260,297,Red,M,10,200000
261,1255,Red,M,10,200000
262,1715,Red,M,10,200000
263,1853,Red,M,10,200000
264,969,Red,M,10,200000
265,975,Red,M,10,200000
266,1275,Red,M,10,200000
267,495,Red,M,10,200000
268,1413,Red,M,10,200000
269,102,Red,M,10,200000
270,1123,Red,M,10,200000
271,1031,Red,M,10,200000
272,1984,Red,M,10,200000
273,1335,Red,M,10,200000
274,581,Red,M,10,200000
275,1799,Red,M,10,200000
276,616,Red,M,10,200000
277,1267,Red,M,10,200000
278,881,Red,M,10,200000
279,1880,Red,M,10,200000
280,1840,Red,M,10,200000
281,942,Red,M,10,200000
282,1414,Red,M,10,200000
283,654,Red,M,10,200000
284,363,Red,M,10,200000
285,1475,Red,M,10,200000
286,329,Red,M,10,200000
287,634,Red,M,10,200000
288,1671,Red,M,10,200000
289,759,Red,M,10,200000
290,116,Red,M,10,200000
291,1562,Red,M,10,200000
292,868,Red,M,10,200000
293,1835,Red,M,10,200000
294,1230,Red,M,10,200000
295,1531,Red,M,10,200000
296,1968,Red,M,10,200000
297,1659,Red,M,10,200000
298,1459,Red,M,10,200000
299,78,Red,M,10,200000
300,208,Red,M,10,200000
301,99,Red,M,10,200000
302,1072,Red,M,10,200000
303,904,Red,M,10,200000
304,221,Red,M,10,200000
305,1970,Red,M,10,200000
306,189,Red,M,10,200000
307,516,Red,M,10,200000
308,1896,Red,M,10,200000
309,1014,Red,M,10,200000
310,743,Red,M,10,200000
311,851,Red,M,10,200000
312,1163,Red,M,10,200000
313,1863,Red,M,10,200000
314,1385,Red,M,10,200000
315,724,Red,M,10,200000
316,830,Red,M,10,200000
317,1680,Red,M,10,200000
318,1638,Red,M,10,200000
319,366,Red,M,10,200000
320,1171,Red,M,10,200000
321,1591,Red,M,10,200000
322,1670,Red,M,10,200000
323,1818,Red,M,10,200000
324,1487,Red,M,10,200000
325,62,Red,M,10,200000
326,731,Red,M,10,200000
327,93,Red,M,10,200000
328,293,Red,M,10,200000
329,1090,Red,M,10,200000
330,1022,Red,M,10,200000
331,1059,Red,M,10,200000
332,1168,Red,M,10,200000
333,1137,Red,M,10,200000
334,1963,Red,M,10,200000
335,536,Red,M,10,200000
336,188,Red,M,10,200000
337,1816,Red,M,10,200000
338,710,Red,M,10,200000
339,1455,Red,M,10,200000
340,658,Red,M,10,200000
341,1610,Red,M,10,200000
342,1096,Red,M,10,200000
343,1094,Red,M,10,200000
344,78,Red,M,10,200000
345,141,Red,M,10,200000
346,714,Red,M,10,200000
347,1344,Red,M,10,200000
348,783,Red,M,10,200000
349,1407,Red,M,10,200000
350,236,Red,M,10,200000
351,1490,Red,M,10,200000
352,267,Red,M,10,200000
353,1910,Red,M,10,200000
354,1091,Red,M,10,200000
355,346,Red,M,10,200000
356,412,Red,M,10,200000
357,676,Red,M,10,200000
358,1405,Red,M,10,200000
359,1320,Red,M,10,200000
360,779,Red,M,10,200000
361,169,Red,M,10,200000
362,322,Red,M,10,200000
363,144,Red,M,10,200000
364,135,Red,M,10,200000
365,19,Red,M,10,200000
366,1225,Red,M,10,200000
367,792,Red,M,10,200000
368,1010,Red,M,10,200000
369,1856,Red,M,10,200000
370,1428,Red,M,10,200000
371,1133,Red,M,10,200000
372,25,Red,M,10,200000
373,1476,Red,M,10,200000
374,1609,Red,M,10,200000
375,658,Red,M,10,200000
376,1246,Red,M,10,200000
377,54,Red,M,10,200000
378,461,Red,M,10,200000
379,728,Red,M,10,200000
380,595,Red,M,10,200000
381,948,Red,M,10,200000
382,943,Red,M,10,200000
383,1065,Red,M,10,200000
384,1060,Red,M,10,200000
385,328,Red,M,10,200000
386,815,Red,M,10,200000
387,1549,Red,M,10,200000
388,802,Red,M,10,200000
389,306,Red,M,10,200000
390,489,Red,M,10,200000
391,1616,Red,M,10,200000
392,1608,Red,M,10,200000
393,260,Red,M,10,200000
394,1042,Red,M,10,200000
395,1147,Red,M,10,200000
396,1788,Red,M,10,200000
397,1341,Red,M,10,200000
398,813,Red,M,10,200000
399,1167,Red,M,10,200000
400,1443,Red,M,10,200000
401,749,Red,M,10,200000
402,955,Red,M,10,200000
403,304,Red,M,10,200000
404,1729,Red,M,10,200000
405,1639,Red,M,10,200000
406,77,Red,M,10,200000
407,606,Red,M,10,200000
408,1341,Red,M,10,200000
409,1364,Red,M,10,200000
410,807,Red,M,10,200000
411,238,Red,M,10,200000
412,1021,Red,M,10,200000
413,1236,Red,M,10,200000
414,818,Red,M,10,200000
415,1495,Red,M,10,200000
416,1106,Red,M,10,200000
417,32,Red,M,10,200000
418,190,Red,M,10,200000
419,1305,Red,M,10,200000
420,898,Red,M,10,200000
421,219,Red,M,10,200000
422,1459,Red,M,10,200000
423,120,Red,M,10,200000
424,1822,Red,M,10,200000
425,231,Red,M,10,200000
426,322,Red,M,10,200000
427,1863,Red,M,10,200000
428,1824,Red,M,10,200000
429,1251,Red,M,10,200000
430,1901,Red,M,10,200000
431,1870,Red,M,10,200000
432,1251,Red,M,10,200000
433,1250,Red,M,10,200000
434,1407,Red,M,10,200000
435,110,Red,M,10,200000
436,1055,Red,M,10,200000
437,23,Red,M,10,200000
438,1369,Red,M,10,200000
439,427,Red,M,10,200000
440,1327,Red,M,10,200000
441,1724,Red,M,10,200000
442,26,Red,M,10,200000
443,392,Red,M,10,200000
444,1969,Red,M,10,200000
445,994,Red,M,10,200000
446,1659,Red,M,10,200000
447,545,Red,M,10,200000
448,1481,Red,M,10,200000
449,995,Red,M,10,200000
450,836,Red,M,10,200000
451,481,Red,M,10,200000
452,530,Red,M,10,200000
453,83,Red,M,10,200000
454,1006,Red,M,10,200000
455,1268,Red,M,10,200000
456,803,Red,M,10,200000
457,981,Red,M,10,200000
458,1158,Red,M,10,200000
459,1943,Red,M,10,200000
460,1465,Red,M,10,200000
461,1098,Red,M,10,200000
462,1515,Red,M,10,200000
463,1468,Red,M,10,200000
464,1942,Red,M,10,200000
465,1796,Red,M,10,200000
466,116,Red,M,10,200000
467,185,Red,M,10,200000
468,294,Red,M,10,200000
469,1304,Red,M,10,200000
470,785,Red,M,10,200000
471,480,Red,M,10,200000
472,1354,Red,M,10,200000
473,322,Red,M,10,200000
474,1116,Red,M,10,200000
475,1353,Red,M,10,200000
476,948,Red,M,10,200000
477,1731,Red,M,10,200000
478,891,Red,M,10,200000
479,987,Red,M,10,200000
480,1229,Red,M,10,200000
481,1349,Red,M,10,200000
482,1878,Red,M,10,200000
483,1817,Red,M,10,200000
484,694,Red,M,10,200000
485,1839,Red,M,10,200000
486,879,Red,M,10,200000
487,1369,Red,M,10,200000
488,1401,Red,M,10,200000
489,1763,Red,M,10,200000
490,643,Red,M,10,200000
491,1937,Red,M,10,200000
492,667,Red,M,10,200000
493,277,Red,M,10,200000
494,27,Red,M,10,200000
495,1051,Red,M,10,200000
496,912,Red,M,10,200000
497,759,Red,M,10,200000
498,239,Red,M,10,200000
499,471,Red,M,10,200000
500,1851,Red,M,10,200000
501,383,Red,M,10,200000
502,360,Red,M,10,200000
503,1470,Red,M,10,200000
504,465,Red,M,10,200000
505,682,Red,M,10,200000
506,816,Red,M,10,200000
507,1380,Red,M,10,200000
508,905,Red,M,10,200000
509,393,Red,M,10,200000
510,457,Red,M,10,200000
511,1112,Red,M,10,200000
512,1186,Red,M,10,200000
513,1258,Red,M,10,200000
514,1558,Red,M,10,200000
515,214,Red,M,10,200000
516,1217,Red,M,10,200000
517,1282,Red,M,10,200000
518,874,Red,M,10,200000
519,219,Red,M,10,200000
520,917,Red,M,10,200000
521,229,Red,M,10,200000
522,1995,Red,M,10,200000
523,376,Red,M,10,200000
524,1272,Red,M,10,200000
525,1560,Red,M,10,200000
526,594,Red,M,10,200000
527,895,Red,M,10,200000
528,469,Red,M,10,200000
529,1406,Red,M,10,200000
530,82,Red,M,10,200000
531,154,Red,M,10,200000
532,801,Red,M,10,200000
533,943,Red,M,10,200000
534,995,Red,M,10,200000
535,1644,Red,M,10,200000
536,1528,Red,M,10,200000
537,471,Red,M,10,200000
538,1578,Red,M,10,200000
539,15,Red,M,10,200000
540,340,Red,M,10,200000
541,1978,Red,M,10,200000
542,919,Red,M,10,200000
543,876,Red,M,10,200000
544,76,Red,M,10,200000
545,1605,Red,M,10,200000
546,1786,Red,M,10,200000
547,1802,Red,M,10,200000
548,87,Red,M,10,200000
549,592,Red,M,10,200000
550,1266,Red,M,10,200000
551,1789,Red,M,10,200000
552,1611,Red,M,10,200000
553,1087,Red,M,10,200000
554,212,Red,M,10,200000
555,1087,Red,M,10,200000
556,423,Red,M,10,200000
557,568,Red,M,10,200000
558,1444,Red,M,10,200000
559,957,Red,M,10,200000
560,1689,Red,M,10,200000
561,111,Red,M,10,200000
562,1907,Red,M,10,200000
563,1720,Red,M,10,200000
564,156,Red,M,10,200000
565,220,Red,M,10,200000
566,1766,Red,M,10,200000
567,908,Red,M,10,200000
568,1794,Red,M,10,200000
569,1294,Red,M,10,200000
570,1582,Red,M,10,200000
571,1213,Red,M,10,200000
572,1978,Red,M,10,200000
573,1337,Red,M,10,200000
574,25,Red,M,10,200000
575,1965,Red,M,10,200000
576,927,Red,M,10,200000
577,827,Red,M,10,200000
578,1189,Red,M,10,200000
579,186,Red,M,10,200000
580,748,Red,M,10,200000
581,1741,Red,M,10,200000
582,1804,Red,M,10,200000
583,1956,Red,M,10,200000
584,1535,Red,M,10,200000
585,613,Red,M,10,200000
586,913,Red,M,10,200000
587,92,Red,M,10,200000
588,953,Red,M,10,200000
589,1944,Red,M,10,200000
590,709,Red,M,10,200000
591,1496,Red,M,10,200000
592,1375,Red,M,10,200000
593,1036,Red,M,10,200000
594,981,Red,M,10,200000
595,852,Red,M,10,200000
596,1233,Red,M,10,200000
597,1691,Red,M,10,200000
598,116,Red,M,10,200000
599,1378,Red,M,10,200000
600,213,Red,M,10,200000
601,659,Red,M,10,200000
602,1345,Red,M,10,200000
603,274,Red,M,10,200000
604,895,Red,M,10,200000
605,1995,Red,M,10,200000
606,741,Red,M,10,200000
607,428,Red,M,10,200000
608,334,Red,M,10,200000
609,1728,Red,M,10,200000
610,1323,Red,M,10,200000
611,170,Red,M,10,200000
612,1062,Red,M,10,200000
613,1902,Red,M,10,200000
614,1916,Red,M,10,200000
615,1187,Red,M,10,200000
616,1013,Red,M,10,200000
617,234,Red,M,10,200000
618,806,Red,M,10,200000
619,834,Red,M,10,200000
620,404,Red,M,10,200000
621,396,Red,M,10,200000
622,568,Red,M,10,200000
623,597,Red,M,10,200000
624,797,Red,M,10,200000
625,538,Red,M,10,200000
626,108,Red,M,10,200000
627,721,Red,M,10,200000
628,1428,Red,M,10,200000
629,303,Red,M,10,200000
630,770,Red,M,10,200000
631,611,Red,M,10,200000
632,723,Red,M,10,200000
633,58,Red,M,10,200000
634,1781,Red,M,10,200000
635,17,Red,M,10,200000
636,149,Red,M,10,200000
637,1811,Red,M,10,200000
638,429,Red,M,10,200000
639,1951,Red,M,10,200000
640,1119,Red,M,10,200000
641,104,Red,M,10,200000
642,1392,Red,M,10,200000
643,654,Red,M,10,200000
644,1878,Red,M,10,200000
645,214,Red,M,10,200000
646,1477,Red,M,10,200000
647,847,Red,M,10,200000
648,1441,Red,M,10,200000
649,1027,Red,M,10,200000
650,167,Red,M,10,200000
651,645,Red,M,10,200000
652,204,Red,M,10,200000
653,1960,Red,M,10,200000
654,530,Red,M,10,200000
655,520,Red,M,10,200000
656,117,Red,M,10,200000
657,636,Red,M,10,200000
658,1117,Red,M,10,200000
659,1669,Red,M,10,200000
660,391,Red,M,10,200000
661,1996,Red,M,10,200000
662,1748,Red,M,10,200000
663,787,Red,M,10,200000
664,769,Red,M,10,200000
665,1095,Red,M,10,200000
666,1808,Red,M,10,200000
667,1808,Red,M,10,200000
668,1155,Red,M,10,200000
669,1653,Red,M,10,200000
670,1861,Red,M,10,200000
671,1578,Red,M,10,200000
672,996,Red,M,10,200000
673,983,Red,M,10,200000
674,841,Red,M,10,200000
675,1722,Red,M,10,200000
676,690,Red,M,10,200000
677,1257,Red,M,10,200000
678,1724,Red,M,10,200000
679,827,Red,M,10,200000
680,1623,Red,M,10,200000
681,1412,Red,M,10,200000
682,1656,Red,M,10,200000
683,841,Red,M,10,200000
684,980,Red,M,10,200000
685,1313,Red,M,10,200000
686,1670,Red,M,10,200000
687,1540,Red,M,10,200000
688,1661,Red,M,10,200000
689,312,Red,M,10,200000
690,762,Red,M,10,200000
691,1971,Red,M,10,200000
692,208,Red,M,10,200000
693,1878,Red,M,10,200000
694,1341,Red,M,10,200000
695,5,Red,M,10,200000
696,979,Red,M,10,200000
697,1261,Red,M,10,200000
698,1989,Red,M,10,200000
699,1010,Red,M,10,200000
700,266,Red,M,10,200000
701,565,Red,M,10,200000
702,1971,Red,M,10,200000
703,880,Red,M,10,200000
704,882,Red,M,10,200000
705,1616,Red,M,10,200000
706,1144,Red,M,10,200000
707,675,Red,M,10,200000
708,189,Red,M,10,200000
709,348,Red,M,10,200000
710,1557,Red,M,10,200000
711,668,Red,M,10,200000
712,1242,Red,M,10,200000
713,1633,Red,M,10,200000
714,318,Red,M,10,200000
715,1698,Red,M,10,200000
716,640,Red,M,10,200000
717,1882,Red,M,10,200000
718,713,Red,M,10,200000
719,1565,Red,M,10,200000
720,1815,Red,M,10,200000
721,704,Red,M,10,200000
722,1001,Red,M,10,200000
723,1646,Red,M,10,200000
724,83,Red,M,10,200000
725,802,Red,M,10,200000
726,1970,Red,M,10,200000
727,1517,Red,M,10,200000
728,61,Red,M,10,200000
729,465,Red,M,10,200000
730,184,Red,M,10,200000
731,1163,Red,M,10,200000
732,1872,Red,M,10,200000
733,1000,Red,M,10,200000
734,1945,Red,M,10,200000
735,886,Red,M,10,200000
736,621,Red,M,10,200000
737,920,Red,M,10,200000
738,307,Red,M,10,200000
739,827,Red,M,10,200000
740,140,Red,M,10,200000
741,1425,Red,M,10,200000
742,1171,Red,M,10,200000
743,5,Red,M,10,200000
744,1760,Red,M,10,200000
745,29,Red,M,10,200000
746,1675,Red,M,10,200000
747,819,Red,M,10,200000
748,229,Red,M,10,200000
749,1431,Red,M,10,200000
750,367,Red,M,10,200000
751,760,Red,M,10,200000
752,584,Red,M,10,200000
753,1305,Red,M,10,200000
754,621,Red,M,10,200000
755,652,Red,M,10,200000
756,83,Red,M,10,200000
757,963,Red,M,10,200000
758,1446,Red,M,10,200000
759,960,Red,M,10,200000
760,1683,Red,M,10,200000
761,615,Red,M,10,200000
762,1245,Red,M,10,200000
763,1423,Red,M,10,200000
764,1352,Red,M,10,200000
765,1248,Red,M,10,200000
766,1435,Red,M,10,200000
767,688,Red,M,10,200000
768,1641,Red,M,10,200000
769,835,Red,M,10,200000
770,93,Red,M,10,200000
771,1255,Red,M,10,200000
772,34,Red,M,10,200000
773,1470,Red,M,10,200000
774,363,Red,M,10,200000
775,1691,Red,M,10,200000
776,1851,Red,M,10,200000
777,1038,Red,M,10,200000
778,1381,Red,M,10,200000
779,978,Red,M,10,200000
780,550,Red,M,10,200000
781,797,Red,M,10,200000
782,1260,Red,M,10,200000
783,1129,Red,M,10,200000
784,260,Red,M,10,200000
785,1943,Red,M,10,200000
786,1002,Red,M,10,200000
787,1872,Red,M,10,200000
788,820,Red,M,10,200000
789,941,Red,M,10,200000
790,1375,Red,M,10,200000
791,114,Red,M,10,200000
792,1401,Red,M,10,200000
793,787,Red,M,10,200000
794,953,Red,M,10,200000
795,834,Red,M,10,200000
796,999,Red,M,10,200000
797,420,Red,M,10,200000
798,335,Red,M,10,200000
799,625,Red,M,10,200000
800,1274,Red,M,10,200000
801,485,Red,M,10,200000
802,298,Red,M,10,200000
803,1788,Red,M,10,200000
804,835,Red,M,10,200000
805,1159,Red,M,10,200000
806,992,Red,M,10,200000
807,1,Red,M,10,200000
808,1217,Red,M,10,200000
809,742,Red,M,10,200000
810,943,Red,M,10,200000
811,1698,Red,M,10,200000
812,919,Red,M,10,200000
813,1022,Red,M,10,200000
814,19,Red,M,10,200000
815,403,Red,M,10,200000
816,1855,Red,M,10,200000
817,110,Red,M,10,200000
818,1012,Red,M,10,200000
819,1438,Red,M,10,200000
820,1115,Red,M,10,200000
821,484,Red,M,10,200000
822,479,Red,M,10,200000
823,774,Red,M,10,200000
824,627,Red,M,10,200000
825,1560,Red,M,10,200000
826,350,Red,M,10,200000
827,104,Red,M,10,200000
828,640,Red,M,10,200000
829,1077,Red,M,10,200000
830,1367,Red,M,10,200000
831,1277,Red,M,10,200000
832,1284,Red,M,10,200000
833,1794,Red,M,10,200000
834,1422,Red,M,10,200000
835,1404,Red,M,10,200000
836,1028,Red,M,10,200000
837,750,Red,M,10,200000
838,472,Red,M,10,200000
839,1276,Red,M,10,200000
840,932,Red,M,10,200000
841,1098,Red,M,10,200000
842,189,Red,M,10,200000
843,663,Red,M,10,200000
844,1741,Red,M,10,200000
845,256,Red,M,10,200000
846,1656,Red,M,10,200000
847,1115,Red,M,10,200000
848,653,Red,M,10,200000
849,1137,Red,M,10,200000
850,1311,Red,M,10,200000
851,1146,Red,M,10,200000
852,1131,Red,M,10,200000
853,845,Red,M,10,200000
854,474,Red,M,10,200000
855,801,Red,M,10,200000
856,405,Red,M,10,200000
857,1291,Red,M,10,200000
858,674,Red,M,10,200000
859,1621,Red,M,10,200000
860,1224,Red,M,10,200000
861,1481,Red,M,10,200000
862,1671,Red,M,10,200000
863,313,Red,M,10,200000
864,667,Red,M,10,200000
865,605,Red,M,10,200000
866,253,Red,M,10,200000
867,940,Red,M,10,200000
868,1289,Red,M,10,200000
869,457,Red,M,10,200000
870,1172,Red,M,10,200000
871,1776,Red,M,10,200000
872,1577,Red,M,10,200000
873,1357,Red,M,10,200000
874,755,Red,M,10,200000
875,1109,Red,M,10,200000
876,1099,Red,M,10,200000
877,1383,Red,M,10,200000
878,801,Red,M,10,200000
879,1748,Red,M,10,200000
880,1058,Red,M,10,200000
881,1013,Red,M,10,200000
882,975,Red,M,10,200000
883,1608,Red,M,10,200000
884,1144,Red,M,10,200000
885,507,Red,M,10,200000
886,1589,Red,M,10,200000
887,1110,Red,M,10,200000
888,1762,Red,M,10,200000
889,256,Red,M,10,200000
890,1736,Red,M,10,200000
891,973,Red,M,10,200000
892,626,Red,M,10,200000
893,1731,Red,M,10,200000
894,1780,Red,M,10,200000
895,216,Red,M,10,200000
896,291,Red,M,10,200000
897,1019,Red,M,10,200000
898,444,Red,M,10,200000
899,1329,Red,M,10,200000
900,516,Red,M,10,200000
901,860,Red,M,10,200000
902,43,Red,M,10,200000
903,1488,Red,M,10,200000
904,852,Red,M,10,200000
905,1925,Red,M,10,200000
906,774,Red,M,10,200000
907,209,Red,M,10,200000
908,822,Red,M,10,200000
909,597,Red,M,10,200000
910,1472,Red,M,10,200000
911,723,Red,M,10,200000
912,785,Red,M,10,200000
913,1694,Red,M,10,200000
914,121,Red,M,10,200000
915,1852,Red,M,10,200000
916,1191,Red,M,10,200000
917,1763,Red,M,10,200000
918,1316,Red,M,10,200000
919,1770,Red,M,10,200000
920,576,Red,M,10,200000
921,155,Red,M,10,200000
922,900,Red,M,10,200000
923,596,Red,M,10,200000
924,1842,Red,M,10,200000
925,1159,Red,M,10,200000
926,178,Red,M,10,200000
927,1279,Red,M,10,200000
928,1455,Red,M,10,200000
929,1472,Red,M,10,200000
930,1645,Red,M,10,200000
931,1661,Red,M,10,200000
932,492,Red,M,10,200000
933,1337,Red,M,10,200000
934,959,Red,M,10,200000
935,1040,Red,M,10,200000
936,265,Red,M,10,200000
937,1652,Red,M,10,200000
938,232,Red,M,10,200000
939,621,Red,M,10,200000
940,1137,Red,M,10,200000
941,608,Red,M,10,200000
942,1226,Red,M,10,200000
943,1035,Red,M,10,200000
944,1184,Red,M,10,200000
945,2000,Red,M,10,200000
946,1072,Red,M,10,200000
947,842,Red,M,10,200000
948,940,Red,M,10,200000
949,1143,Red,M,10,200000
950,1883,Red,M,10,200000
951,928,Red,M,10,200000
952,1361,Red,M,10,200000
953,768,Red,M,10,200000
954,586,Red,M,10,200000
955,798,Red,M,10,200000
956,1629,Red,M,10,200000
957,90,Red,M,10,200000
958,1141,Red,M,10,200000
959,642,Red,M,10,200000
960,421,Red,M,10,200000
961,383,Red,M,10,200000
962,694,Red,M,10,200000
963,790,Red,M,10,200000
