id,oid,vid,qty
142,234,828,1
143,7276,37,1
144,7630,1465,1
145,9998,1251,1
146,914,4920,1
147,6226,3898,1
148,11698,3051,1
149,4413,2999,1
150,5515,561,1
151,6579,4936,1
152,3161,3117,1
153,7784,2359,1
154,6115,4668,1
155,9406,3943,1
156,723,2515,1
157,9128,1157,1
158,5865,955,1
159,3044,206,1
160,519,3466,1
161,12567,1641,1
162,3312,1775,1
163,5515,4681,1
164,1569,3426,1
165,9020,3514,1
166,8905,3293,1
167,1224,2277,1
168,2109,131,1
169,9356,3009,1
170,10332,836,1
171,13379,3304,1
172,11801,3474,1
173,5881,315,1
174,3079,3155,1
175,10622,2603,1
176,39,1787,1
177,975,213,1
178,7676,4941,1
179,12390,793,1
180,10952,3813,1
181,521,3960,1
182,7095,4742,1
183,176,4135,1
184,3377,4819,1
185,8008,2524,1
186,11694,4676,1
187,10613,1276,1
188,12753,3311,1
189,12876,3454,1
190,12023,1416,1
191,2334,3088,1
192,12353,671,1
193,8784,4300,1
194,12884,4717,1
195,4671,1606,1
196,5746,602,1
197,1129,1101,1
198,8969,2285,1
199,3231,179,1
200,626,2225,1
201,5791,4307,1
202,3380,3089,1
203,14470,3302,1
204,4919,1192,1
205,6411,634,1
206,13356,1119,1
207,9766,2912,1
208,11321,2116,1
209,1239,2232,1
210,2363,4659,1
211,14667,1779,1
212,676,2508,1
213,696,3285,1
214,13492,3736,1
215,5402,1525,1
216,10587,2889,1
217,10791,1554,1
218,10844,622,1
219,2764,3579,1
220,7318,544,1
221,10115,2683,1
222,11564,3315,1
223,8692,656,1
224,14308,1020,1
225,8664,615,1
226,2605,2772,1
227,8804,3245,1
228,9001,2014,1
229,8770,1908,1
230,12402,4827,1
231,6004,2656,1
232,3817,1783,1
233,13586,3421,1
234,3593,1695,1
235,5763,3839,1
236,14506,1698,1
237,13735,3246,1
238,2490,3521,1
239,2779,340,1
240,10501,724,1
241,3742,187,1
242,10973,2731,1
243,8808,3352,1
244,8566,1085,1
245,13283,2550,1
246,2920,4417,1
247,10689,305,1
248,7111,4335,1
249,11213,976,1
250,13791,4993,1
251,5582,558,1
252,8440,4179,1
253,1237,2357,1
254,5313,212,1
255,1159,2127,1
256,14769,4784,1
257,5318,1034,1
258,8665,4796,1
259,1243,1655,1
260,14526,1902,1
261,7158,3400,1
262,4450,318,1
263,10006,1908,1
264,9666,36,1
265,2203,296,1
266,10258,1287,1
267,11745,651,1
268,11300,3167,1
269,14079,3222,1
270,6327,2961,1
271,325,1094,1
272,13748,4005,1
273,13781,3959,1
274,2148,1756,1
275,9543,2335,1
276,8542,2683,1
277,8720,2533,1
278,6237,1487,1
279,6846,612,1
280,8605,436,1
281,7770,879,1
282,638,2078,1
283,9736,4371,1
284,8265,203,1
285,2450,1459,1
286,1743,555,1
287,11640,884,1
288,2337,653,1
289,6204,4167,1
290,10162,911,1
291,10362,2020,1
292,6945,425,1
293,13261,4648,1
294,7259,3127,1
295,3125,1086,1
296,1901,3897,1
297,10420,2563,1
298,4911,3961,1
299,5055,4393,1
300,179,3881,1
301,738,2426,1
302,10541,3886,1
303,11292,1655,1
304,11077,3468,1
305,7138,3684,1
306,1903,3384,1
307,11863,4177,1
308,14836,4668,1
309,2465,2200,1
310,9657,1810,1
311,11703,245,1
312,11605,3265,1
313,8718,4103,1
314,12481,4757,1
315,9451,1978,1
316,14943,1142,1
317,14195,2078,1
318,12701,1119,1
319,990,4384,1
320,1227,1896,1
321,2257,1499,1
322,9823,2587,1
323,14979,803,1
324,10098,4936,1
325,11880,4494,1
326,12636,677,1
327,2129,1359,1
328,290,1238,1
329,6772,2959,1
330,7904,3884,1
331,9543,802,1
332,8793,4085,1
333,12952,780,1
334,13291,2905,1
335,7856,4478,1
336,3432,956,1
337,10087,3105,1
338,6038,1492,1
339,6745,3790,1
340,12936,4617,1
341,13413,3615,1
342,12318,4780,1
343,10678,2661,1
344,6984,5,1
345,7978,2287,1
346,3840,3277,1
347,608,4212,1
348,13068,4140,1
349,8174,1598,1
350,13418,3248,1
351,10481,3899,1
352,10975,1028,1
353,6462,4793,1
354,3632,4464,1
355,9173,2645,1
356,4794,4994,1
357,1821,488,1
358,11420,4617,1
359,8274,3942,1
360,2666,1418,1
361,6323,1300,1
362,5349,2409,1
363,12472,2861,1
364,12221,4998,1
365,2449,3434,1
366,3800,825,1
367,14698,20,1
368,4733,2459,1
369,11651,191,1
370,5753,3715,1
371,3851,4725,1
372,6035,2481,1
373,6348,2755,1
374,5411,762,1
375,8241,1692,1
376,14316,4001,1
377,1004,128,1
378,13707,3055,1
379,3277,1705,1
380,5551,1422,1
381,6245,2154,1
382,12896,4064,1
383,8233,173,1
384,9069,2790,1
385,11161,3439,1
386,10549,448,1
387,4911,2633,1
388,711,1409,1
389,7045,1990,1
390,4429,3435,1
391,10992,4932,1
392,2579,2390,1
393,12121,3185,1
394,12918,856,1
395,6162,1844,1
396,6127,602,1
397,8734,4804,1
398,4550,1271,1
399,13184,3857,1
400,7668,2858,1
401,12725,4477,1
402,121,2387,1
403,9486,3727,1
404,11443,2853,1
405,4078,1236,1
406,1160,55,1
407,12602,3250,1
408,10811,2253,1
409,7110,3658,1
410,2098,4738,1
411,3004,1321,1
412,3712,1132,1
413,6031,59,1
414,14254,4524,1
415,1150,2413,1
416,14365,4289,1
417,4396,4214,1
418,14087,2344,1
419,10587,4488,1
420,2331,1186,1
421,9537,3769,1
422,943,4098,1
423,8971,2809,1
424,855,2641,1
425,8255,687,1
426,4203,4208,1
427,12430,4948,1
428,3247,362,1
429,11509,1628,1
430,10325,2251,1
431,3764,4180,1
432,6213,216,1
433,3279,1804,1
434,7580,1412,1
435,7475,251,1
436,13330,2197,1
437,11171,3953,1
438,10005,2745,1
439,2112,3222,1
440,11555,2880,1
441,13511,1324,1
442,9277,2479,1
443,9348,667,1
444,5448,30,1
445,7580,4377,1
446,2885,575,1
447,11416,2531,1
448,13303,1155,1
449,3093,461,1
450,5612,3603,1
451,8577,602,1
452,365,696,1
453,512,3089,1
454,6880,1903,1
455,14724,4148,1
456,10885,532,1
457,835,582,1
458,14045,314,1
459,1586,4520,1
460,7014,4605,1
461,10495,1519,1
462,12227,1060,1
463,11973,1150,1
464,5008,2750,1
465,1945,4428,1
466,1996,520,1
467,825,3378,1
468,11903,1992,1
469,9267,339,1
470,9234,1249,1
471,7715,1408,1
472,10270,3499,1
473,2583,1799,1
474,6429,4878,1
475,14805,4055,1
476,12141,4395,1
477,14860,3171,1
478,10923,2623,1
479,2959,1369,1
480,13796,4501,1
481,3934,1781,1
482,8158,311,1
483,10191,2990,1
484,3157,2441,1
485,11058,2429,1
486,12001,3530,1
487,6138,4302,1
488,12133,4007,1
489,8414,3621,1
490,12362,2702,1
491,11816,4806,1
492,4866,4060,1
493,3325,1504,1
494,12609,2267,1
495,10355,4863,1
496,2350,2244,1
497,2337,2044,1
498,11511,2061,1
499,12007,1804,1
500,11618,87,1
501,13175,2474,1
502,11048,1590,1
503,1179,1777,1
504,7323,3213,1
505,13270,4179,1
506,10761,1966,1
507,11527,3431,1
508,10545,3604,1
509,14239,3906,1
510,1281,1213,1
511,180,4348,1
512,2322,4318,1
513,662,982,1
514,13844,3517,1
515,4118,4621,1
516,7643,2749,1
517,9631,4342,1
518,4371,2362,1
519,5164,2230,1
520,11719,4866,1
521,11553,4180,1
522,2012,1067,1
523,4998,3406,1
524,461,710,1
525,10830,4749,1
526,11856,4440,1
527,13590,1934,1
528,11389,137,1
529,13528,613,1
530,10487,1147,1
531,8871,4744,1
532,2595,1073,1
533,6525,2221,1
534,10717,465,1
535,2073,1745,1
536,418,2816,1
537,8276,2615,1
538,12057,4736,1
539,3010,1561,1
540,13682,3264,1
541,9693,3277,1
542,3944,1976,1
543,8941,3583,1
544,14235,144,1
545,6773,591,1
546,453,4348,1
547,3607,3135,1
548,6223,2670,1
549,6815,2756,1
550,8028,4184,1
551,12956,3006,1
552,7451,1243,1
553,10467,1357,1
554,7146,3210,1
555,8854,3506,1
556,14749,1860,1
557,13114,1863,1
558,9190,3602,1
559,9942,3532,1
560,3599,3174,1
561,14135,2911,1
562,1939,1163,1
563,12560,3343,1
564,7946,4463,1
565,14287,2109,1
566,8771,2402,1
567,14171,200,1
568,11732,3193,1
569,945,2395,1
570,7844,1652,1
571,2638,3437,1
572,5498,3856,1
573,5687,1325,1
574,9527,833,1
575,12660,4000,1
576,8086,744,1
577,13707,4337,1
578,8795,4509,1
579,7264,3995,1
580,1841,1537,1
581,9642,3302,1
582,12926,3915,1
583,6321,1227,1
584,5825,2357,1
585,14660,846,1
586,11540,3698,1
587,1351,1199,1
588,10012,3758,1
589,9777,2565,1
590,1285,4898,1
591,5915,136,1
592,12203,4962,1
593,6373,3641,1
594,3187,4781,1
595,2954,4344,1
596,2016,2833,1
597,9836,4290,1
598,11385,944,1
599,2907,3197,1
600,5015,3171,1
601,11574,49,1
602,8125,3241,1
603,9900,1292,1
604,10880,1100,1
605,12036,4850,1
606,8342,3472,1
607,11880,4976,1
608,7754,3904,1
609,12656,483,1
610,14749,2280,1
611,8475,3738,1
612,4794,4697,1
613,11824,2797,1
614,7128,3132,1
615,2387,4000,1
616,3234,3214,1
617,1044,1512,1
618,14722,2220,1
619,617,88,1
620,5465,1948,1
621,643,4752,1
622,7596,3815,1
623,10470,3155,1
624,14761,3855,1
625,14265,996,1
626,13231,4000,1
627,11246,3733,1
628,9939,2230,1
629,2812,1355,1
630,6687,3988,1
631,2247,4217,1
632,3077,4332,1
633,4225,1655,1
634,6825,4896,1
635,1162,1878,1
636,2540,1419,1
637,14963,1051,1
638,2541,1964,1
639,14889,582,1
640,14545,1584,1
641,4988,2838,1
642,5748,780,1
643,10727,3596,1
644,5984,2540,1
645,6658,40,1
646,2218,2275,1
647,6883,2115,1
648,2548,4831,1
649,8915,34,1
650,5236,2184,1
651,12524,2595,1
652,4468,1309,1
653,12272,696,1
654,4035,1026,1
655,11909,2453,1
656,1129,922,1
657,12229,4943,1
658,8463,694,1
659,12482,2635,1
660,10005,791,1
661,3551,1713,1
662,6973,4085,1
663,13433,739,1
664,2244,2980,1
665,5404,309,1
666,5241,2880,1
667,5954,1955,1
668,12862,1430,1
669,1902,1953,1
670,7948,2830,1
671,1415,2099,1
672,10603,2880,1
673,4120,3210,1
674,5998,794,1
675,10204,4976,1
676,1093,4107,1
677,8671,2120,1
678,2324,3103,1
679,11031,4853,1
680,2097,768,1
681,14081,1469,1
682,4947,4541,1
683,14184,2329,1
684,10605,4177,1
685,513,636,1
686,10946,2731,1
687,12570,3845,1
688,5163,4662,1
689,12400,2779,1
690,13628,4412,1
691,7392,1973,1
692,2332,2324,1
693,6821,4931,1
694,4539,68,1
695,12864,2268,1
696,3022,2605,1
697,806,4372,1
698,1669,3954,1
699,4563,4690,1
700,13958,1988,1
701,8964,3388,1
702,3027,70,1
703,66,87,1
704,1070,1415,1
705,5874,4239,1
706,10196,3969,1
707,12530,4502,1
708,7415,1597,1
709,7406,2445,1
710,6758,3673,1
711,12192,157,1
712,9072,2816,1
713,7958,3552,1
714,3309,1860,1
715,10246,2225,1
716,14013,730,1
717,11132,2693,1
718,13193,2729,1
719,4828,748,1
720,8559,4849,1
721,2746,4776,1
722,10708,4756,1
723,9862,1001,1
724,8466,4452,1
725,10782,3938,1
726,10721,4713,1
727,5772,3732,1
728,4490,4549,1
729,9871,812,1
730,4782,2670,1
731,6957,3731,1
732,9581,4094,1
733,13917,835,1
734,10650,3163,1
735,1554,3721,1
736,12035,4718,1
737,4476,4084,1
738,14223,3410,1
739,1241,376,1
740,7560,4443,1
741,897,2518,1
742,1808,4913,1
743,695,1796,1
744,1680,2471,1
745,4747,844,1
746,10668,732,1
747,8620,84,1
748,1450,4462,1
749,1899,2746,1
750,8609,4997,1
751,10723,794,1
752,14382,3123,1
753,7572,3853,1
754,7249,1414,1
755,7350,4727,1
756,5934,2264,1
757,14843,4486,1
758,14904,2652,1
759,933,3442,1
760,8672,4,1
761,12191,3109,1
762,14267,651,1
763,14096,2376,1
764,1465,3820,1
765,1833,4287,1
766,8074,4221,1
767,13368,1042,1
768,4923,1140,1
769,11085,3377,1
770,10270,997,1
771,410,2884,1
772,8111,4701,1
773,14919,2740,1
774,11555,534,1
775,13651,9,1
776,3436,1687,1
777,12887,3561,1
778,4351,502,1
779,7252,2186,1
780,14990,3453,1
781,12741,2524,1
782,14368,2711,1
783,5735,1470,1
784,1374,1909,1
785,13804,2923,1
786,5586,650,1
787,1663,633,1
788,12904,2743,1
789,3146,3638,1
790,5382,4451,1
791,9812,207,1
792,13520,1563,1
793,3350,1294,1
794,6844,1530,1
795,3676,2167,1
796,3068,2741,1
797,8945,503,1
798,11345,3758,1
799,2650,114,1
800,6796,3762,1
801,261,3087,1
802,5177,2505,1
803,5883,290,1
804,6093,4298,1
805,2344,2767,1
806,6894,25,1
807,9556,3606,1
808,5777,2518,1
809,13649,4487,1
810,4733,1018,1
811,9373,3762,1
812,6615,4024,1
813,8298,4547,1
814,7800,3462,1
815,2528,449,1
816,13369,2231,1
817,620,570,1
818,12583,2167,1
819,6065,613,1
820,10920,3890,1
821,7901,651,1
822,8845,2705,1
823,11743,3114,1
824,10050,2978,1
825,3564,1272,1
826,14672,2995,1
827,3673,1592,1
828,11380,2930,1
829,9707,108,1
830,5753,2772,1
831,4866,1096,1
832,14688,80,1
833,6676,998,1
834,12920,2159,1
835,3790,2524,1
836,1216,1843,1
837,11516,2782,1
838,11416,2145,1
839,4338,3784,1
840,7424,2812,1
841,14291,1389,1
842,11808,3183,1
843,4798,1325,1
844,7383,4767,1
845,4498,2446,1
846,14992,4571,1
847,9662,1698,1
848,14070,4457,1
849,3906,3865,1
850,12040,4182,1
851,12476,4115,1
852,6791,1921,1
853,12395,4580,1
854,13468,3340,1
855,11664,4932,1
856,6206,1592,1
857,8178,1274,1
858,3194,4901,1
859,8560,3804,1
860,4787,2323,1
861,8833,1670,1
862,12593,2640,1
863,12151,1933,1
864,430,2197,1
865,10162,990,1
866,587,3223,1
867,5897,2535,1
868,113,1160,1
869,9188,682,1
870,2667,2983,1
871,13725,4946,1
872,12345,1866,1
873,356,1291,1
874,11184,2719,1
875,1601,4019,1
876,1957,138,1
877,1453,4086,1
878,7480,2549,1
879,809,2098,1
880,11933,3882,1
881,3120,4393,1
882,1253,3998,1
883,11345,1372,1
884,5795,1267,1
885,2500,1450,1
886,9811,3125,1
887,2117,3717,1
888,12173,1278,1
889,5294,1525,1
890,1767,849,1
891,2375,787,1
892,14408,3831,1
893,1937,620,1
894,9017,4025,1
895,8393,4544,1
896,11398,2522,1
897,14784,4454,1
898,4578,320,1
899,11294,3166,1
900,8113,3160,1
901,1254,2874,1
902,14846,3979,1
903,10173,746,1
904,10525,2400,1
905,13356,531,1
906,6123,3351,1
907,10582,4123,1
908,9185,2256,1
909,2395,1003,1
910,920,4702,1
911,9882,1265,1
912,12182,2763,1
913,14869,4777,1
914,5246,312,1
915,2430,4304,1
916,10398,1305,1
917,10160,4629,1
918,2498,3212,1
919,3344,2220,1
920,5654,4932,1
921,11338,3056,1
922,224,4062,1
923,2712,4661,1
924,9188,3887,1
925,13045,4215,1
926,13513,4944,1
927,6168,1394,1
928,11224,247,1
929,7468,3695,1
930,2461,907,1
931,6276,2623,1
932,12998,3907,1
933,1980,4231,1
934,6889,4916,1
935,12058,3489,1
936,11403,3038,1
937,3548,851,1
938,9962,3753,1
939,6875,3877,1
940,11163,1321,1
941,7452,2404,1
942,10360,3115,1
943,6536,4455,1
944,12161,2315,1
945,8889,2474,1
946,11507,4668,1
947,557,223,1
948,13927,4123,1
949,11719,4765,1
950,11585,3056,1
951,4280,4434,1
952,1176,1401,1
953,14565,1901,1
954,7149,253,1
955,7370,3673,1
956,11357,1082,1
957,11652,4167,1
958,817,2852,1
959,9996,2563,1
960,9661,2515,1
961,10256,2464,1
962,12757,767,1
963,12851,1283,1
964,5906,75,1
965,1557,2473,1
966,4700,2011,1
967,7429,1190,1
968,1874,347,1
969,4842,1819,1
970,1734,797,1
971,3545,4571,1
972,9284,4647,1
973,3465,2786,1
974,4384,1735,1
975,14066,1098,1
976,6118,4275,1
977,2508,3940,1
978,12805,177,1
979,11460,2264,1
980,12869,2128,1
981,8641,2801,1
982,2008,1602,1
983,1765,3583,1
984,29,4398,1
985,5151,138,1
986,5551,3158,1
987,9757,3567,1
988,10644,2482,1
989,2462,4243,1
990,11385,4534,1
991,1046,3322,1
992,523,2319,1
993,14403,4298,1
994,13744,3661,1
995,8156,1289,1
996,13260,3014,1
997,14041,2239,1
998,13352,1376,1
999,7725,554,1
1000,4796,2608,1
1001,10352,916,1
1002,5405,1427,1
1003,1905,2075,1
1004,1474,4839,1
1005,6473,997,1
1006,9504,4880,1
1007,5386,3589,1
1008,6846,3371,1
1009,13855,3894,1
1010,7931,4800,1
1011,13013,3971,1
1012,8322,345,1
1013,4551,4977,1
1014,7592,3561,1
1015,4719,3730,1
1016,6796,843,1
1017,3768,2855,1
1018,14853,2744,1
1019,6425,4865,1
1020,3322,1788,1
1021,11980,668,1
1022,834,14,1
1023,8564,2496,1
1024,4731,3658,1
1025,8100,2173,1
1026,11296,941,1
1027,13021,2474,1
1028,844,4148,1
1029,8904,1298,1
1030,6139,690,1
1031,7001,2620,1
1032,11920,2324,1
1033,476,70,1
1034,3681,3682,1
1035,5449,3165,1
1036,9127,3364,1
1037,11467,492,1
1038,9241,3030,1
1039,6799,3046,1
1040,528,3410,1
1041,10032,4553,1
1042,4452,3649,1
1043,63,2498,1
1044,2406,2733,1
1045,13591,1726,1
1046,6503,2830,1
1047,12471,1892,1
1048,14229,119,1
1049,12960,2373,1
1050,8262,2164,1
1051,9294,1997,1
1052,4181,187,1
1053,14660,193,1
1054,2714,3324,1
1055,3168,3212,1
1056,11966,1797,1
1057,1461,3256,1
1058,1804,727,1
1059,7679,134,1
1060,13914,3575,1
1061,3090,2794,1
1062,367,4489,1
1063,4771,4046,1
1064,2871,1408,1
1065,5680,2160,1
1066,3657,395,1
1067,1595,2883,1
1068,14809,4196,1
1069,10353,1167,1
1070,11282,1690,1
1071,3505,1814,1
1072,11963,225,1
1073,2561,4829,1
1074,5338,2739,1
1075,14370,2714,1
1076,10999,3477,1
1077,6587,1792,1
1078,13847,592,1
1079,7107,3229,1
1080,10793,2483,1
1081,14840,676,1
1082,14828,3730,1
1083,2716,115,1
1084,13759,2685,1
1085,8087,1379,1
1086,4243,1887,1
1087,10632,383,1
1088,4995,4304,1
1089,3765,1204,1
1090,5076,2050,1
1091,4451,884,1
1092,3095,1869,1
1093,2631,2334,1
1094,523,1311,1
1095,162,389,1
1096,1255,3627,1
1097,3291,195,1
1098,6909,3797,1
1099,4734,4027,1
1100,3314,1912,1
1101,13522,2384,1
1102,5682,2236,1
1103,6145,4165,1
1104,7185,2287,1
1105,1024,3681,1
1106,13660,415,1
1107,6270,4534,1
1108,5630,3369,1
1109,4466,2007,1
1110,11647,1913,1
1111,14037,4036,1
1112,2766,3790,1
1113,5230,2219,1
1114,3630,3505,1
1115,6172,4701,1
1116,13895,370,1
1117,10950,842,1
1118,2660,3703,1
1119,7822,4633,1
1120,3154,2186,1
1121,13509,3680,1
1122,4496,1798,1
1123,1216,4149,1
1124,12665,2270,1
1125,991,3007,1
1126,13182,1746,1
1127,5230,3276,1
1128,2761,263,1
1129,12917,3879,1
1130,10213,2929,1
1131,4258,4045,1
1132,13897,1223,1
1133,46,1085,1
1134,611,4900,1
1135,4477,1562,1
1136,9153,885,1
1137,10743,1550,1
1138,12674,1980,1
1139,6844,604,1
1140,13572,1568,1
1141,12060,4586,1
1142,10558,2015,1
1143,5755,2001,1
1144,5373,4785,1
1145,11300,3187,1
1146,4013,50,1
1147,453,2896,1
1148,7317,3043,1
1149,4632,5,1
1150,6965,1669,1
1151,5601,250,1
1152,13091,3700,1
1153,2883,3773,1
1154,8504,4740,1
1155,11742,1192,1
1156,14226,2555,1
1157,1155,4292,1
1158,12418,4579,1
1159,10536,633,1
1160,6742,4378,1
1161,1014,1963,1
1162,6513,4535,1
1163,9031,3242,1
1164,8558,130,1
1165,11614,3942,1
1166,13724,3609,1
1167,11159,4245,1
1168,5307,395,1
1169,541,1475,1
1170,6533,243,1
1171,7754,4101,1
1172,71,4627,1
1173,5649,4674,1
1174,6678,2938,1
1175,8287,2374,1
1176,10895,1708,1
1177,11176,1660,1
1178,7951,3132,1
1179,10294,2239,1
1180,11785,3832,1
1181,11124,469,1
1182,2862,2993,1
1183,6177,1345,1
1184,10830,1366,1
1185,13705,3803,1
1186,11764,3644,1
1187,7869,598,1
1188,9920,3100,1
1189,13089,4718,1
1190,5175,1257,1
1191,3390,1900,1
1192,13301,1948,1
1193,7718,1048,1
1194,1522,942,1
1195,885,2010,1
1196,697,337,1
1197,2656,4597,1
1198,12973,4979,1
1199,4133,3320,1
1200,2383,4745,1
1201,6834,1945,1
1202,1779,84,1
1203,14833,4192,1
1204,12569,3314,1
1205,9529,4870,1
1206,10079,1515,1
1207,5832,449,1
1208,2027,1998,1
1209,12996,861,1
1210,7517,4704,1
1211,1977,4224,1
1212,12851,1761,1
1213,12388,4345,1
1214,7263,4523,1
1215,9599,278,1
1216,9339,2191,1
1217,8309,4098,1
1218,1581,4774,1
1219,13013,1551,1
1220,12925,3688,1
1221,14419,1373,1
1222,8499,741,1
1223,7553,1039,1
1224,13589,2958,1
1225,2702,702,1
1226,3398,4671,1
1227,14029,2748,1
1228,1571,3579,1
1229,12462,1679,1
1230,11567,388,1
1231,9401,1457,1
1232,12142,3566,1
1233,5390,2416,1
1234,9758,2710,1
1235,3802,118,1
1236,12993,3052,1
1237,11196,543,1
1238,6551,2034,1
1239,5918,506,1
1240,14929,376,1
1241,807,3447,1
1242,8256,4438,1
1243,9541,1212,1
1244,6180,893,1
1245,1440,2803,1
1246,8168,338,1
1247,10625,4291,1
1248,5659,3272,1
1249,5009,1737,1
1250,14538,4833,1
1251,4286,1010,1
1252,10736,2584,1
1253,9304,608,1
1254,2151,3374,1
1255,14658,856,1
1256,7368,168,1
1257,6532,436,1
1258,5639,1657,1
1259,8605,1217,1
1260,6178,2921,1
1261,14422,4231,1
1262,11952,4490,1
1263,10770,2216,1
1264,11246,2370,1
1265,1833,815,1
1266,14524,4754,1
1267,676,4015,1
1268,3263,3794,1
1269,2979,4293,1
1270,13503,1038,1
1271,4929,4179,1
1272,8593,2186,1
1273,33,225,1
1274,2935,4821,1
1275,14746,3706,1
1276,14018,261,1
1277,13942,2816,1
1278,9642,4719,1
1279,12992,2101,1
1280,3812,2896,1
1281,7164,2096,1
1282,11090,4637,1
1283,1064,3408,1
1284,12889,572,1
1285,936,2616,1
1286,5900,3094,1
1287,14376,3247,1
1288,2829,4865,1
1289,10242,707,1
1290,14524,4573,1
1291,8687,153,1
1292,7488,499,1
1293,1322,3843,1
1294,12194,2765,1
1295,9856,4870,1
1296,4633,934,1
1297,11580,887,1
1298,319,3407,1
1299,8367,2226,1
1300,4411,4171,1
1301,3636,4975,1
1302,1640,3984,1
1303,13194,3914,1
1304,7827,891,1
1305,6962,3972,1
1306,801,3926,1
1307,9576,2195,1
1308,10159,4296,1
1309,9359,3891,1
1310,3107,2505,1
1311,5813,2775,1
1312,2000,4856,1
1313,9110,2120,1
1314,10383,3292,1
1315,6636,1001,1
1316,8776,907,1
1317,8059,1253,1
1318,11656,1770,1
1319,10371,4941,1
1320,9093,2866,1
1321,3511,2658,1
1322,7476,579,1
1323,13602,275,1
1324,9147,4288,1
1325,2761,2308,1
1326,14891,4158,1
1327,14011,1899,1
1328,12213,298,1
1329,12165,4632,1
1330,3470,3695,1
1331,11211,1712,1
1332,12149,4136,1
1333,8041,2102,1
1334,1329,1048,1
1335,9223,2351,1
1336,1743,1891,1
1337,4275,2272,1
1338,13696,977,1
1339,5728,3958,1
1340,1882,3231,1
1341,14780,4746,1
1342,10909,777,1
1343,13311,3735,1
1344,10574,4080,1
1345,1111,449,1
1346,2608,1924,1
1347,3592,796,1
1348,8133,2070,1
1349,7121,3958,1
1350,5709,4061,1
1351,12699,4970,1
1352,1094,2499,1
1353,1874,2,1
1354,8153,523,1
1355,4102,4784,1
1356,1941,3489,1
1357,6323,1529,1
1358,11325,2205,1
1359,7739,3343,1
1360,956,4326,1
1361,3654,3769,1
1362,3985,2727,1
1363,3392,3721,1
1364,2277,401,1
1365,12489,2633,1
1366,2049,4661,1
1367,4330,1131,1
1368,14917,3196,1
1369,5058,4916,1
1370,11187,4589,1
1371,4472,1325,1
1372,5386,4002,1
1373,11539,1454,1
1374,11727,3615,1
1375,5750,102,1
1376,13629,1823,1
1377,2111,347,1
1378,13757,2389,1
1379,7710,2266,1
1380,3793,1709,1
1381,13731,4884,1
1382,9570,1405,1
1383,8416,2646,1
1384,9849,4315,1
1385,7677,587,1
1386,5811,812,1
1387,4571,4896,1
1388,11973,4005,1
1389,2360,2995,1
1390,2199,442,1
1391,9617,1121,1
1392,11525,3529,1
1393,10902,4003,1
1394,2520,4746,1
